Date,Open,High,Low,Close,Adj Close,Volume
2022-08-03,5.400000,5.440000,5.370000,5.420000,5.322518,3170900
2022-08-04,5.440000,5.470000,5.420000,5.430000,5.332338,4723900
2022-08-05,5.430000,5.450000,5.410000,5.420000,5.322518,2702200
2022-08-08,5.420000,5.430000,5.400000,5.430000,5.332338,2025300
2022-08-10,5.410000,5.440000,5.380000,5.410000,5.312698,5147800
2022-08-11,5.430000,5.440000,5.400000,5.440000,5.342158,3188100
2022-08-12,5.440000,5.440000,5.400000,5.410000,5.312698,1740700
2022-08-15,5.410000,5.430000,5.380000,5.390000,5.293057,2128300
2022-08-16,5.410000,5.430000,5.380000,5.420000,5.322518,3925000
2022-08-17,5.420000,5.450000,5.420000,5.440000,5.342158,3458400
2022-08-18,5.410000,5.450000,5.410000,5.440000,5.342158,2531700
2022-08-19,5.430000,5.430000,5.380000,5.390000,5.293057,2490300
2022-08-22,5.380000,5.390000,5.350000,5.380000,5.283237,2850150
2022-08-23,5.350000,5.430000,5.340000,5.380000,5.283237,5321200
2022-08-24,5.380000,5.410000,5.350000,5.360000,5.263597,3047200
2022-08-25,5.380000,5.400000,5.360000,5.370000,5.273417,1784600
2022-08-26,5.390000,5.400000,5.370000,5.380000,5.283237,1945900
2022-08-29,5.340000,5.350000,5.300000,5.320000,5.224317,4290300
2022-08-30,5.320000,5.380000,5.320000,5.360000,5.263597,3507900
2022-08-31,5.330000,5.350000,5.310000,5.320000,5.224317,4290300
2022-09-01,5.310000,5.340000,5.300000,5.300000,5.204677,1638600
2022-09-02,5.310000,5.320000,5.260000,5.270000,5.175216,4887100
2022-09-05,5.270000,5.300000,5.270000,5.290000,5.194856,1819000
2022-09-06,5.310000,5.370000,5.290000,5.320000,5.224317,3154000
2022-09-07,5.280000,5.320000,5.270000,5.310000,5.214497,3004300
2022-09-08,5.350000,5.390000,5.350000,5.370000,5.273417,3779300
2022-09-09,5.370000,5.400000,5.370000,5.400000,5.302878,2155800
2022-09-12,5.400000,5.420000,5.360000,5.400000,5.302878,2657900
2022-09-13,5.400000,5.430000,5.390000,5.420000,5.322518,2718600
2022-09-14,5.360000,5.400000,5.350000,5.370000,5.273417,3452600
2022-09-15,5.380000,5.400000,5.320000,5.340000,5.243957,3820300
2022-09-16,5.310000,5.350000,5.300000,5.300000,5.204677,4579500
2022-09-19,5.310000,5.330000,5.300000,5.310000,5.214497,1861000
2022-09-20,5.310000,5.330000,5.310000,5.320000,5.224317,1934600
2022-09-21,5.310000,5.330000,5.290000,5.300000,5.204677,2748400
2022-09-22,5.290000,5.330000,5.270000,5.320000,5.224317,3325000
2022-09-23,5.300000,5.300000,5.280000,5.280000,5.185036,3076600
2022-09-26,5.270000,5.290000,5.170000,5.170000,5.077014,8075000
2022-09-27,5.190000,5.220000,5.160000,5.170000,5.077014,5082300
2022-09-28,5.170000,5.210000,5.110000,5.120000,5.027914,6201400
2022-09-29,5.160000,5.200000,5.120000,5.120000,5.027914,5539000
2022-09-30,5.110000,5.130000,5.060000,5.100000,5.008274,6937900
2022-10-03,5.100000,5.120000,5.060000,5.060000,4.968993,3109100
2022-10-04,5.100000,5.140000,5.100000,5.110000,5.018094,3959500
2022-10-05,5.150000,5.180000,5.130000,5.170000,5.077014,3430300
2022-10-06,5.180000,5.200000,5.110000,5.110000,5.018094,2793800
2022-10-07,5.120000,5.150000,5.120000,5.130000,5.037734,1933000
2022-10-10,5.120000,5.120000,5.060000,5.080000,4.988633,3356100
2022-10-11,5.070000,5.110000,5.020000,5.060000,4.968993,3783400
2022-10-12,5.070000,5.080000,5.030000,5.030000,4.939533,4054100
2022-10-13,5.040000,5.050000,5.010000,5.030000,4.939533,4842500
2022-10-14,5.060000,5.090000,5.030000,5.040000,4.949353,3590700
2022-10-17,5.040000,5.050000,4.990000,5.000000,4.910072,6674400
2022-10-18,5.050000,5.080000,5.010000,5.070000,4.978813,3608000
2022-10-19,5.050000,5.120000,5.050000,5.050000,4.959173,2558500
2022-10-20,5.030000,5.080000,5.010000,5.080000,4.988633,3901700
2022-10-21,5.060000,5.060000,5.020000,5.040000,4.949353,2759000
2022-10-25,5.080000,5.100000,5.030000,5.030000,4.939533,2792600
2022-10-26,5.060000,5.170000,5.060000,5.110000,5.018094,5573100
2022-10-27,5.150000,5.160000,5.100000,5.160000,5.067194,3394400
2022-10-28,5.120000,5.160000,5.120000,5.140000,5.047554,3102900
2022-10-31,5.160000,5.280000,5.160000,5.260000,5.165396,6402100
2022-11-01,5.260000,5.320000,5.250000,5.310000,5.214497,4756400
2022-11-02,5.310000,5.320000,5.280000,5.310000,5.214497,2845500
2022-11-03,5.280000,5.290000,5.230000,5.270000,5.175216,3370900
2022-11-04,5.300000,5.350000,5.250000,5.340000,5.243957,4159800
2022-11-07,5.410000,5.500000,5.360000,5.410000,5.312698,13728700
2022-11-08,5.390000,5.400000,5.250000,5.300000,5.204677,8032900
2022-11-09,5.300000,5.340000,5.280000,5.320000,5.224317,4587600
2022-11-10,5.320000,5.340000,5.300000,5.330000,5.234137,2617300
2022-11-11,5.380000,5.430000,5.330000,5.370000,5.273417,7142000
2022-11-14,5.400000,5.450000,5.400000,5.450000,5.351978,8706500
2022-11-15,5.450000,5.480000,5.420000,5.470000,5.371619,5217500
2022-11-16,5.460000,5.500000,5.450000,5.500000,5.401079,7256500
2022-11-17,5.500000,5.520000,5.460000,5.500000,5.401079,4381500
2022-11-18,5.500000,5.530000,5.450000,5.480000,5.381439,4996200
2022-11-21,5.480000,5.510000,5.460000,5.490000,5.391259,3332700
2022-11-22,5.490000,5.500000,5.440000,5.470000,5.371619,3871900
2022-11-23,5.480000,5.490000,5.440000,5.450000,5.351978,3050300
2022-11-24,5.460000,5.490000,5.450000,5.490000,5.391259,2423600
2022-11-25,5.490000,5.500000,5.460000,5.490000,5.391259,1808300
2022-11-28,5.460000,5.480000,5.420000,5.460000,5.361799,3151400
2022-11-29,5.460000,5.490000,5.450000,5.470000,5.371619,4153000
